watch_date,device_type,watch_duration_minutes,progress_percentage,action,quality,is_download,age,gender,country,subscription_plan,subscription_start_date,is_active,monthly_spend,household_size,title,content_type,genre_primary,release_year,duration_minutes,maturity_level,language,country_of_origin,imdb_rating,is_netflix_original,added_to_platform,content_warning
6/8/2025,Tablet,21.40,76.90,started,HD,FALSE,35.00,Male,USA,Standard,2022-12-05,FALSE,29.64,2.00,A Mystery,Stand-Up Comedy,Mystery,1992,45,Adult,Spanish,USA,9.10,FALSE,2021-06-11,FALSE
3/25/2024,Tablet,27.10,49.60,paused,HD,FALSE,5.00,Prefer not to say,USA,Basic,2025-02-15,FALSE,11.20,2.00,Hero Kingdom,Movie,Fantasy,1995,166,Kids,English,USA,7.50,TRUE,2022-11-10,FALSE
5/12/2024,Laptop,59.30,67.20,started,HD,TRUE,44.00,Female,CANADA,Basic,2025-07-19,TRUE,8.15,2.00,Legend War,Stand-Up Comedy,Western,2007,80,Teens,English,USA,6.50,TRUE,2023-11-07,FALSE
3/9/2024,Mobile,36.90,52.70,completed,HD,FALSE,38.00,Male,USA,Standard,2025-05-24,TRUE,16.56,1.00,Love Battle,Stand-Up Comedy,War,2022,91,Adult,English,Germany,4.40,FALSE,2020-10-15,TRUE
1/24/2024,Mobile,31.30,49.60,paused,Ultra HD,FALSE,26.00,Prefer not to say,USA,Premium,2024-01-26,TRUE,18.56,2.00,King Legend,Tv Series,Romance,2019,64,Family,English,UK,7.40,TRUE,2022-11-24,TRUE
2/24/2024,Laptop,61.10,21.00,stopped,HD,TRUE,34.00,Male,USA,Premium,2023-05-08,TRUE,9.14,2.00,Mission Kingdom,Tv Series,War,2018,48,Family,English,India,7.70,TRUE,2023-10-22,TRUE
7/3/2024,Laptop,18.40,11.20,stopped,HD,FALSE,35.00,Male,CANADA,Premium,2023-10-13,TRUE,8.18,3.00,Hero Empire,Limited Series,Sci-Fi,1992,63,Adult,English,USA,9.00,FALSE,2021-04-22,FALSE
6/21/2025,Smart TV,39.30,46.60,completed,HD,TRUE,33.00,Male,USA,Premium+,2024-03-29,TRUE,13.72,2.00,Story Phoenix,Tv Series,History,2006,50,Kids,Hindi,USA,6.30,FALSE,2020-10-22,FALSE
7/21/2025,Smart TV,90.30,73.10,completed,HD,FALSE,40.00,Female,CANADA,Premium,2024-01-24,TRUE,20.35,2.00,Love Legend,Movie,Western,2018,121,Adult,English,Germany,6.50,FALSE,2024-12-29,FALSE
7/8/2024,Desktop,60.80,6.30,completed,4K,FALSE,38.00,Male,USA,Premium,2024-03-02,FALSE,15.05,2.00,A Secret,Movie,Biography,1995,94,Kids,English,USA,6.30,TRUE,2024-04-09,FALSE
